title,url,domain,seendate,language,sourcecountry,event_id,phase
"Top Dem blasts Trump's cartel strikes, says admin overstepping war powers",https://www.foxnews.com/politics/top-dem-blasts-trumps-cartel-strikes-says-admin-overstepping-war-powers,www.foxnews.com,2025-12-02,en,,REC1,post
How to help older relatives with tech over the holidays,https://www.foxnews.com/tech/how-help-older-relatives-tech-over-holidays,www.foxnews.com,2025-12-05,en,,REC2,pre
Capitol Hill revolt threatens Trump’s Venezuela playbook amid Caribbean strike oversight,https://www.foxnews.com/politics/capitol-hill-revolt-threatens-trumps-venezuela-playbook-amid-caribbean-strike-oversight,www.foxnews.com,2025-12-05,en,,REC2,pre
US carries out 22nd strike on alleged drug vessel operated by a Designated Terrorist Organization,https://www.foxnews.com/politics/us-carries-out-22nd-strike-alleged-drug-vessel-operated-designated-terrorist-organization,www.foxnews.com,2025-12-05,en,,REC2,pre
Fox News Politics Newsletter: Capitol Hill revolt threatens Trump’s Venezuela playbook,https://www.foxnews.com/politics/fox-news-politics-newsletter-capitol-hill-revolt-threatens-trumps-venezuela-playbook,www.foxnews.com,2025-12-05,en,,REC2,pre
"Exclusive: Boat at center of double-tap strike controversy was meeting vessel headed to Suriname, admiral told lawmakers | CNN Politics",https://www.cnn.com/2025/12/05/politics/suriname-boat-strike-bradley,www.cnn.com,2025-12-05,en,,REC2,pre
Coast Guard helicopter sniper takes out narco-boat engines in stunning exclusive video,https://www.foxnews.com/politics/coast-guard-helicopter-sniper-takes-out-narco-boat-engines-stunning-exclusive-video,www.foxnews.com,2025-12-05,en,,REC2,pre
"Exclusive: Survivors clinging to capsized boat didn’t radio for backup, admiral overseeing double-tap strike tells lawmakers | CNN Politics",https://www.cnn.com/2025/12/04/politics/strike-lawmakers-briefing-radio-survivors,www.cnn.com,2025-12-05,en,,REC2,pre
Senate Majority Leader John Thune previews Republican midterm message heading into 2026,https://www.foxnews.com/media/senate-majority-leader-john-thune-previews-republican-midterm-message-heading-2026,www.foxnews.com,2025-12-04,en,,REC2,pre
Pro-life center fights New Jersey attorney general's 'fishing expedition' in Supreme Court battle,https://www.foxnews.com/politics/pro-life-center-fights-new-jersey-attorney-generals-fishing-expedition-supreme-court-battle,www.foxnews.com,2025-12-02,en,,REC2,pre
DOJ busts ‘Greggy’s Cult’ child exploitation network that allegedly coerced kids into self-harm,https://www.foxnews.com/us/doj-busts-greggys-cult-child-exploitation-network-allegedly-coerced-kids-self-harm,www.foxnews.com,2025-12-03,en,,REC2,pre
"New York Times sues Pentagon over its new press policy, says it violates First and Fifth Amendment rights",https://www.foxnews.com/media/new-york-times-sues-pentagon-over-its-new-press-policy-says-violates-first-fifth-amendment-rights,www.foxnews.com,2025-12-04,en,,REC2,pre
"Chernobyl protective shield can no longer confine radiation after drone strike, UN nuclear watchdog says",https://www.cnn.com/2025/12/06/europe/chernobyl-drone-strike-radiation-latam-intl,www.cnn.com,2025-12-06,en,,REC2,post
GOP Senator Curtis on whether he would vote again to confirm Hegseth: ‘That’s a question I can’t answer’,https://www.cnn.com/2025/12/07/politics/video/gop-senator-john-curtis-dod-secy-hegseth-double-tap-boat-strike-drug-vessel?cid=external-feeds_iluminar_yahoo,www.cnn.com,2025-12-07,en,,REC2,post
Moscow unleashes massive drone and missile attack...,https://apnews.com/article/russia-ukraine-war-drones-witkoff-trump-7f5e063223a426a4629b67c5991d1a73,apnews.com,2025-12-06,en,,REC2,post
